tags,url,citacao,autor
"change,deep-thoughts,thinking,world",/author/Albert-Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
"abilities,choices",/author/J-K-Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling
"inspirational,life,live,miracle,miracles",/author/Albert-Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
"aliteracy,books,classic,humor",/author/Jane-Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
"be-yourself,inspirational",/author/Marilyn-Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
"adulthood,success,value",/author/Albert-Einstein,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
"life,love",/author/Andre-Gide,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
"edison,failure,inspirational,paraphrased",/author/Thomas-A-Edison,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
misattributed-eleanor-roosevelt,/author/Eleanor-Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt
"humor,obvious,simile",/author/Steve-Martin,"“A day without sunshine is like, you know, night.”",Steve Martin
